;X;Unnamed..0;StartDate;EndDate;Status;Progress;Duration..in.seconds.;Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;consent_q;google.acct;att_1;att_2;entertain_predict_3;lonely_predict_3;novel_predict_3;engage_predict_3;comfort_predict_3;interest_predict_3;connect_predict_3;entertain_predict_3.1;lonely_predict_3.1;novel_predict_3.1;engage_predict_3.1;comfort_predict_3.1;interest_predict_3.1;connect_predict_3.1;lonely_1_3;lonely_2_3;lonely_3_3;lonely_4_3;mturk_id;completion_code;timer_First.Click;timer_Last.Click;timer_Page.Submit;timer_Click.Count;screenshot_Id;screenshot_Name;screenshot_Size;screenshot_Type;noInteraction_timer_First.Click;noInteraction_timer_Last.Click;noInteraction_timer_Page.Submit;noInteraction_timer_Click.Count;entertain_exp_3;lonely_exp_3;novel_exp_3;engage_exp_3;comfor_exp_3;interest_exp_3;connect_exp_3;entertain_exp_3.1;lonely_exp_3.1;novel_exp_3.1;engage_exp_3.1;comfort_exp_3;interest_exp_3.1;connected_exp_3;lonely_1_after_3;lonely_2_after_3;lonely_3_after_3;lonely_4_after_3;comp_1;comp_2;able_nothing;able_nothing_explain;believe_q;explain;ai_attitude_1_6;ai_attitude_2_1;ai_attitude_3_1;ai_attitude_4_1;ai_attitude_5_1;ai_attitude_6_1;ai_attitude_7_1;ai_attitude_8_1;ai_attitude_9_1;ai_attitude_10_1;ai_attitude_11_1;ai_attitude_12_1;ai_attitude_13_1;ai_attitude_14_1;ai_attitude_15_1;ai_attitude_16_1;chatbot;chatbot_exp;gender;gender_4_TEXT;ethnicity;ethnicity_6_TEXT;age;edu;edu_8_TEXT;workerId;condition_2;condition
123;122;122;2023-04-05 17:00:41;2023-04-05 17:20:44;0;100;1202;1;2023-04-05 17:20:45;R_1K3HIgenVpMs6Mi;anonymous;EN;1;1;2;2;;;;;;;;67;25;82;72;65;74;72;63;70;61;56;123;2296-8866-3658-3396;;;;;;;;;;;;;;;;;;;;90;5;96;86;88;86;91;25;25;22;16;2;1;;;1;they way they responded to my questions was not robotic but i did notice they did not have any spelling errors which is suspicious that it could be a bot;90;89;92;92;67;80;84;81;68;35;64;67;62;58;38;36;2;;2;;2;;37;5;;123;0;another person
124;123;123;2023-04-05 16:53:31;2023-04-05 17:20:50;0;100;1638;1;2023-04-05 17:20:50;R_1LnHzhMc561Pks6;anonymous;EN;1;1;2;2;;;;;;;;50;70;70;70;50;80;70;0;0;0;0;124;3195-7843-5421-8985;;;;;;;;;;;;;;;;;;;;100;0;100;100;100;100;100;0;0;0;0;1;1;;;1;I felt I was interacting with a human because the person stayed on topic and answered all my questions. There was no lag in our conversation.;100;90;90;100;70;100;50;100;70;50;60;80;90;50;30;80;2;;2;;1;;42;5;;124;0;another person
125;124;124;2023-04-05 16:56:34;2023-04-05 17:20:55;0;100;1461;1;2023-04-05 17:20:56;R_3pmZGmsMgRJ1mXi;anonymous;EN;1;1;2;2;;;;;;;;100;19;100;100;36;100;71;10;9;9;10;125;1289-2881-0601-0159;;;;;;;;;;;;;;;;;;;;0;4;0;0;5;5;4;22;13;15;14;1;1;;;1;It was a person that didn't respond. Maybe they were busy or no one was there at all.;78;79;100;100;50;100;72;100;62;0;0;29;100;73;30;70;1;My bank has a chat bot;1;;3;;39;4;;125;0;another person
126;125;125;2023-04-05 17:00:37;2023-04-05 17:21:16;0;100;1239;1;2023-04-05 17:21:17;R_Ov9ljdwmkGq9SDv;anonymous;EN;1;1;2;2;;;;;;;;33;28;61;76;55;61;71;20;19;19;19;126;2144-6645-1118-7354;;;;;;;;;;;;;;;;;;;;70;16;90;77;68;68;78;13;8;10;14;3;1;;;1;They were very casual and responsive in ways that made me believe they were human;52;55;53;53;60;65;52;61;68;54;47;54;42;83;79;45;2;;1;;3;;33;4;;126;0;another person
127;126;126;2023-04-05 16:55:24;2023-04-05 17:21:47;0;100;1582;1;2023-04-05 17:21:48;R_rroxnO0zuwrRGwh;anonymous;EN;1;1;2;2;;;;;;;;90;10;91;90;90;90;90;50;50;50;50;127;8801-3546-1921-3195;;;;;;;;;;;;;;;;;;;;100;0;100;100;100;100;100;50;50;50;50;3;1;;;2;I am not sure why I felt that it was a chatbot however they are being used more in more in studies. I was just a gut feeling more than anything. Although, I could have been chatting with a real human, it used human answers, such as, oh cool.. Either way it was fun.;90;90;90;90;50;90;20;100;75;0;0;10;90;50;10;75;1;I use OpenAI to come up with creative ideas for blog content. And I have helped train for AI in several studies. I find very interesting!;2;;3;;58;4;;127;0;another person
128;127;127;2023-04-05 17:03:00;2023-04-05 17:23:30;0;100;1230;1;2023-04-05 17:23:31;R_10r5fydnPz5k8i2;anonymous;EN;1;1;2;2;;;;;;;;78;5;83;75;94;69;89;80;25;69;62;128;1553-5890-4845-6441;;;;;;;;;;;;;;;;;;;;95;7;84;87;88;84;75;71;30;19;81;3;1;;;1;There language was fluid and simple. Didn't sound forced.;85;92;87;82;36;77;39;74;59;31;28;33;79;29;19;76;1;I had a few Interactions with chat gpt;1;;3;;46;4;;128;0;another person
129;128;128;2023-04-05 17:03:57;2023-04-05 17:23:56;0;100;1198;1;2023-04-05 17:23:57;R_1f8h6l9tarGLR3Y;anonymous;EN;1;1;2;2;;;;;;;;64;23;58;70;60;64;67;26;20;25;1;129;8448-1172-5995-7787;;;;;;;;;;;;;;;;;;;;97;76;87;87;67;100;65;27;26;57;71;2;1;;;1;i thought it was a human because they were relatable to me;65;63;67;57;29;50;62;85;26;29;50;53;50;67;25;62;2;;2;;3;;23;4;;129;0;another person
130;129;129;2023-04-05 17:02:16;2023-04-05 17:24:17;0;100;1320;1;2023-04-05 17:24:18;R_2CVCJUDV3fclmjM;anonymous;EN;1;1;2;2;;;;;;;;55;40;80;70;45;60;80;60;60;60;65;130;7322-5974-3840-5269;;;;;;;;;;;;;;;;;;;;50;51;55;48;45;30;51;60;60;65;65;3;1;;;1;I'm not entirely convinced either way, but they responded to what I had to say in a way that I thought was more human than not. Some of the phrases definitely seemed like generative AI but it also may have just been a disinterested person just saying whatever for the sake of the study.;60;60;95;100;50;75;80;95;60;20;55;51;60;80;40;55;1;I used to screw around with instant messenger chatbots as a teenager and I have also played around with ChatGPT to see what it can do.;1;;3;;36;7;;130;0;another person
131;130;130;2023-04-05 17:02:38;2023-04-05 17:24:57;0;100;1338;1;2023-04-05 17:24:57;R_eEVAM6dQ5kSstwd;anonymous;EN;1;1;2;2;;;;;;;;66;78;74;72;71;79;76;82;81;80;100;131;7960-6132-2486-5332;;;;;;;;;;;;;;;;;;;;90;26;88;28;81;91;79;93;95;92;91;3;1;;;1;i knew it was a person because they were giving specific answers and humanly responses;73;30;61;78;30;75;22;77;6;0;0;0;89;0;0;87;1;other surveys;2;;4;;28;1;;131;0;another person
132;131;131;2023-04-05 16:59:48;2023-04-05 17:27:16;0;100;1647;1;2023-04-05 17:27:16;R_3HLf44Bnc4boqNq;anonymous;EN;1;1;2;2;;;;;;;;50;50;64;62;50;65;62;0;10;0;0;132;8489-2033-5004-6717;;;;;;;;;;;;;;;;;;;;71;30;41;60;94;82;51;0;0;0;0;1;1;;;1;Seemed to be right on topic;80;83;81;100;50;50;43;92;50;100;22;10;50;62;50;52;2;;2;;3;;51;3;;132;0;another person
133;132;132;2023-04-05 17:02:00;2023-04-05 17:27:16;0;100;1516;1;2023-04-05 17:27:17;R_2w4TYagFjwkoqFh;anonymous;EN;1;1;2;2;;;;;;;;37;48;45;43;43;44;34;39;40;37;43;133;5520-7286-2150-2967;;;;;;;;;;;;;;;;;;;;55;54;56;56;53;53;55;42;40;43;44;3;1;;;1;She mentioned her husband and hobbies. ;44;45;46;42;63;56;63;57;55;72;56;62;39;57;55;44;1;When booking hotels I have used chatbots. ;2;;3;;42;6;;133;0;another person
134;133;133;2023-04-05 17:11:57;2023-04-05 17:31:33;0;100;1176;1;2023-04-05 17:31:34;R_bphMehNKwbiN1dv;anonymous;EN;1;1;2;2;;;;;;;;75;20;73;74;27;76;76;0;29;27;27;134;7210-2313-9850-2195;;;;;;;;;;;;;;;;;;;;0;0;3;1;0;0;0;0;0;0;0;2;1;;;2;He was a jerk;66;60;15;16;29;26;66;18;65;65;66;24;20;68;20;29;1;In a insurance app;2;;3;;43;4;;134;0;another person
135;134;134;2023-04-05 17:12:34;2023-04-05 17:32:27;0;100;1192;1;2023-04-05 17:32:27;R_6mqyKHqfrXf0bDj;anonymous;EN;1;1;2;2;;;;;;;;66;50;63;70;51;19;50;0;0;0;0;135;0227-2719-7564-5705;;;;;;;;;;;;;;;;;;;;88;70;5;71;24;9;21;0;0;0;0;3;1;;;2;The answers were very inhuman to be honest.  ;60;0;39;72;51;70;100;63;79;69;0;0;60;91;0;50;2;;1;;3;;45;3;;135;0;another person
136;135;135;2023-04-05 17:21:17;2023-04-05 17:46:27;0;100;1509;1;2023-04-05 17:46:28;R_2VO4R4CyZKirpVJ;anonymous;EN;1;1;2;2;;;;;;;;24;31;79;57;20;11;57;14;0;0;1;136;7857-2297-6578-5555;;;;;;;;;;;;;;;;;;;;74;9;99;91;50;82;50;50;6;7;4;2;1;;;1;the responses were more human than robot, it was definitely a person;70;86;50;65;56;60;44;50;53;30;34;63;62;84;50;50;2;;2;;1;;29;1;;136;ai;another person
137;136;136;2023-04-05 17:21:33;2023-04-05 17:49:30;0;100;1676;1;2023-04-05 17:49:30;R_3m2eeaWP9KdvHGs;anonymous;EN;1;1;2;2;;;;;;;;50;50;50;50;50;50;50;0;0;0;0;137;8812-7345-7600-6975;;;;;;;;;;;;;;;;;;;;50;50;49;81;50;77;70;0;0;0;0;2;1;;;1;We talked about global warming and we talked about the things we do to help curb it, The person also mentioned their future plans to help with global warming. I don't think a chatbot has those capabilities.;50;50;50;91;50;50;50;100;50;50;60;50;50;50;50;50;1;I had an issue with an item I ordered online.  A chatbot assisted with the return process.;2;;1;;48;3;;137;0;another person
138;137;137;2023-04-05 17:50:16;2023-04-05 17:57:08;0;100;412;1;2023-04-05 17:57:09;R_3g5Ery8FMFnYBoB;anonymous;EN;1;1;2;2;;;;;;;;50;50;50;50;50;50;50;55;60;60;55;138;5472-0717-8608-5286;;;;;;;;;;;;;;;;;;;;55;55;55;55;55;55;55;55;55;55;55;2;1;;;1;It seemed like a human was talking.;70;70;70;75;100;70;100;68;100;100;100;70;75;100;70;70;2;;2;;3;;37;4;;138;0;another person
139;138;138;2023-04-05 17:16:51;2023-04-05 17:43:18;0;100;1586;1;2023-04-05 17:58:25;R_3qEy0Qv3uKUGctd;anonymous;EN;1;1;2;2;;;;;;;;80;15;90;95;0;90;85;5;60;65;25;139;8124-3157-3596-5555;;;;;;;;;;;;;;;;;;;;80;80;20;90;35;35;75;65;75;85;75;3;1;;;2;The chatbot felt like it was deflecting a bit. It would not answer certain questions about itself. It also kind of repeated itself a bit about what are you doing or what have you been doing lately. But it did keep my interest for a while.;75;80;90;90;0;90;65;80;80;51;30;60;85;45;20;15;1;I have played with the Bing AI chat feature. I have also tried out ChatGPT to see the capabilities. ;1;;3;;32;4;;139;ai;another person
140;139;139;2023-04-05 17:21:29;2023-04-05 17:44:28;0;100;1378;1;2023-04-05 17:59:58;R_29aX9BrQVyTXQix;anonymous;EN;1;1;2;2;;;;;;;;61;35;50;71;72;50;69;66;75;82;70;140;3261-9717-5311-5111;;;;;;;;;;;;;;;;;;;;62;34;37;66;62;63;76;70;82;75;66;1;1;;;1;I thought the way they talked seemed more casual / natural;76;77;77;84;50;78;50;93;72;50;60;50;65;50;50;84;1;In customer service situations like returning an item online or such.;2;;3;;31;4;;140;0;another person
141;140;140;2023-04-05 17:48:05;2023-04-05 18:11:28;0;100;1402;1;2023-04-05 18:11:28;R_50ycEWf0EN7B7lD;anonymous;EN;1;1;2;2;;;;;;;;62;35;64;60;51;51;63;0;0;0;0;141;9963-7179-3212-0176;;;;;;;;;;;;;;;;;;;;100;0;100;100;100;100;100;0;0;0;0;2;1;;;1;We had a very engaging conversation. It seemed like I was really talking to a person. The conversation flowed and questions were asked and and answered like a good conversation with a real person;86;84;100;100;0;76;66;100;75;25;0;0;100;0;0;50;1;On shopping sites I have. Also for tech support;2;;3;;68;4;;141;0;another person
142;141;141;2023-04-05 17:48:14;2023-04-05 18:12:30;0;100;1455;1;2023-04-05 18:12:30;R_ReP3DdaV5fliZ7X;anonymous;EN;1;1;2;2;;;;;;;;60;50;50;50;50;50;50;90;80;50;50;142;2879-8916-8016-6616;;;;;;;;;;;;;;;;;;;;60;50;60;60;50;55;80;90;50;80;50;3;1;;;1;Details like being from PA and knowing the kinds of food they would miss.;80;50;50;76;50;50;81;50;50;55;60;50;75;71;50;50;1;Customer support on websites.;2;;3;;62;5;;142;0;another person
143;142;142;2023-04-05 17:50:44;2023-04-05 18:14:04;0;100;1400;1;2023-04-05 18:14:05;R_12nAtgYHA7wewRk;anonymous;EN;1;1;2;2;;;;;;;;72;61;53;61;60;59;64;60;53;44;60;143;0308-0897-8676-5555;;;;;;;;;;;;;;;;;;;;63;34;69;72;66;62;68;55;46;43;42;3;1;;;1;The survey said it was another person.;55;55;58;60;92;60;77;52;99;99;100;100;0;100;99;0;1;Some company websites have chatbots instead of real human customer service reps.;2;;3;;58;2;;143;ai;another person
144;143;143;2023-04-05 17:53:45;2023-04-05 18:15:54;0;100;1328;1;2023-04-05 18:15:54;R_2pLDEUVWrGRBY4Q;anonymous;EN;1;1;2;2;;;;;;;;65;50;79;83;32;65;55;32;54;77;64;144;0581-6370-9622-8469;;;;;;;;;;;;;;;;;;;;93;33;99;90;66;97;80;40;62;68;50;2;1;;;1;They responded to my questions with actual answers like saying they had bad knees and lived near a beach, etc. ;85;88;95;96;49;75;50;97;58;50;46;60;66;56;50;56;1;I've used several chat bot site and apps to try them out.;2;;3;;59;3;;144;0;another person
145;144;144;2023-04-05 17:51:19;2023-04-05 18:17:03;0;100;1543;1;2023-04-05 18:17:03;R_UWOHrMefNeIMyIh;anonymous;EN;1;1;2;2;;;;;;;;38;55;71;58;29;60;45;80;70;90;62;145;2181-9036-9935-9693;;;;;;;;;;;;;;;;;;;;62;34;41;70;60;61;40;80;68;91;45;3;1;;;2;little bit of awkward repetitive phrasing;72;77;92;73;80;55;73;95;97;58;62;58;85;64;64;75;1;most customer service online is chatbots these days. ;2;;3;;41;7;;145;0;another person
146;145;145;2023-04-05 17:49:58;2023-04-05 18:17:07;0;100;1628;1;2023-04-05 18:17:08;R_BVBxZO9i1N5bhBL;anonymous;EN;1;1;2;2;;;;;;;;84;11;73;82;80;77;83;19;16;9;9;146;4313-3214-8875-3211;;;;;;;;;;;;;;;;;;;;91;4;86;85;82;90;93;83;10;12;12;1;1;;;1;Because I told it would be a person.;82;87;79;81;84;89;20;82;50;23;19;20;83;16;74;54;1;chat;1;;3;;55;4;;146;0;another person
147;146;146;2023-04-05 17:49:54;2023-04-05 18:18:09;0;100;1695;1;2023-04-05 18:18:09;R_1gqC3sunV69FDqw;anonymous;EN;1;1;2;2;;;;;;;;85;40;75;100;100;75;90;65;0;65;55;147;0689-1248-6475-8291;;;;;;;;;;;;;;;;;;;;83;7;69;100;94;63;90;54;0;38;43;2;1;;;1;The interaction was very specific and reactions of the other party quite relative. Human like.;71;58;91;100;75;86;58;100;90;61;95;80;77;100;55;94;1;I've interacted with many chatbots on websites' CS Chat options.;2;;3;;49;3;;147;0;another person
148;147;147;2023-04-05 17:54:40;2023-04-05 18:20:12;0;100;1531;1;2023-04-05 18:20:12;R_z27E9B61i1BZSmd;anonymous;EN;1;1;2;2;;;;;;;;95;11;95;95;74;94;86;11;4;8;10;148;5932-2566-9782-1835;;;;;;;;;;;;;;;;;;;;100;5;94;100;96;100;100;7;4;4;5;2;1;;;1;I used slang words and I don't think that chatbot can respond that well;88;84;83;81;26;80;30;99;50;50;42;50;74;73;77;55;1;banking;2;;3;;34;5;;148;0;another person
149;148;148;2023-04-05 17:55:18;2023-04-05 18:21:06;0;100;1547;1;2023-04-05 18:21:07;R_1f6Q8GSmfAVb41e;anonymous;EN;1;1;2;2;;;;;;;;55;50;69;8;47;60;55;43;56;56;41;149;5203-5964-8079-4715;;;;;;;;;;;;;;;;;;;;59;44;72;60;40;57;58;39;47;46;41;2;1;;;1;The conversation seemed to flow in the ways that a human conversation does, and have some awkwardness to it. I didn't feel like my questions and/or answers were parroted or regurgitated.;0;58;0;8;80;0;94;50;84;100;63;58;12;100;93;60;1;I've played around with chatbot programs - some early ones like mother in law, and some later ones as well. Not chatgpt though.;2;;3;;40;4;;149;0;another person
150;149;149;2023-04-05 18:20:16;2023-04-05 18:22:41;0;100;145;1;2023-04-05 18:22:41;R_11gU60ybpQX5Oi1;anonymous;EN;1;2;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;
151;150;150;2023-04-05 18:00:23;2023-04-05 18:23:31;0;100;1388;1;2023-04-05 18:23:32;R_2XoZSwh1XeRyHDE;anonymous;EN;1;1;2;2;;;;;;;;63;31;76;75;37;80;76;17;10;17;12;151;2742-3229-6781-5555;;;;;;;;;;;;;;;;;;;;81;12;77;93;95;95;89;15;4;8;8;2;1;;;1;The conversation, questions and phrasing seemed like a real person.;91;77;68;94;59;88;36;87;33;11;30;14;71;23;30;73;2;;2;;3;;35;3;;151;ai;another person
152;151;151;2023-04-05 17:55:55;2023-04-05 18:25:45;0;100;1789;1;2023-04-05 18:25:45;R_1DqELZZahFFx80B;anonymous;EN;1;1;2;2;;;;;;;;70;70;70;70;70;70;70;70;70;70;60;152;2985-2760-4287-5555;;;;;;;;;;;;;;;;;;;;90;0;100;85;85;90;85;51;40;40;40;3;1;;;1;I felt like I was in real time and the interaction was about things a human would ask.;80;80;80;80;30;70;40;80;50;30;30;40;75;30;30;70;1;I've used a chatbot on sites where I've need assistance.;2;;1;;69;3;;152;ai;another person
153;152;152;2023-04-05 17:07:09;2023-04-05 18:26:36;0;100;4767;1;2023-04-05 18:26:37;R_1JECv6Uu6LQqdi3;anonymous;EN;1;1;2;2;;;;;;;;70;19;71;70;70;71;71;0;0;0;0;153;5337-8164-9157-5050;;;;;;;;;;;;;;;;;;;;89;13;87;91;91;93;90;0;0;0;0;2;1;;;1;The conversation flowed smoothly and it seemed like the person was really responding to what I had to say.;86;87;89;86;0;85;35;91;24;6;5;4;76;5;6;67;1;Walmart and Spectrum use a chatbot to intially help you out when you contact their customer service. I have used the chatbots for both.;2;;3;;41;1;;153;0;another person
154;153;153;2023-04-05 18:05:50;2023-04-05 18:26:49;0;100;1258;1;2023-04-05 18:26:49;R_2DTZeQGanE8HzWH;anonymous;EN;1;1;2;2;;;;;;;;55;50;50;50;50;50;50;20;39;53;50;154;7639-5073-4461-5555;;;;;;;;;;;;;;;;;;;;57;55;50;50;50;50;50;56;58;59;58;2;1;;;2;the answers themselves seemed mostly genuine, but they were just typing so fast- faster than any human can;50;50;50;50;50;50;50;50;50;50;50;50;50;52;50;50;1;i chatted with chat gpt a couple times;3;;3;;35;4;;154;ai;another person
155;154;154;2023-04-05 17:54:42;2023-04-05 18:27:17;0;100;1955;1;2023-04-05 18:27:18;R_2Y3NmmMkW6j7jUf;anonymous;EN;1;1;2;2;;;;;;;;57;45;59;60;36;62;59;71;51;60;71;155;7873-6548-9295-0106;;;;;;;;;;;;;;;;;;;;42;50;36;59;37;26;57;70;42;60;68;2;1;;;1;I think a chatbot would have been a better conversation partner, and given longer responses.;59;57;62;73;43;54;63;68;50;42;33;57;43;58;34;57;1;customer service chatbots, and I think we used one for a project in college.;1;;3;;29;4;;155;0;another person
156;155;155;2023-04-05 18:00:08;2023-04-05 18:31:03;0;100;1854;1;2023-04-05 18:31:03;R_31EqcPJQIJ70UGh;anonymous;EN;1;1;2;2;;;;;;;;70;38;60;56;74;83;85;72;62;72;42;156;3162-3847-7111-5555;;;;;;;;;;;;;;;;;;;;84;43;78;87;66;79;72;88;69;57;41;2;1;;;1;I am share my knowledge;83;58;92;67;69;57;83;63;64;75;66;77;60;71;59;74;2;;1;;3;;25;4;;156;ai;another person
157;156;156;2023-04-05 18:06:31;2023-04-05 18:32:28;0;100;1557;1;2023-04-05 18:32:29;R_cw0Wyd5peWWE09P;anonymous;EN;1;1;2;2;;;;;;;;75;20;70;95;60;55;85;100;87;100;100;157;7723-3147-8400-5555;;;;;;;;;;;;;;;;;;;;70;5;75;95;90;92;100;95;65;85;75;2;1;;;2;"I think I was interacting with a chatbot because the ""person"" started typing way sooner than they could have possibly finished reading my response. ";70;65;65;80;80;20;75;85;100;95;100;100;50;100;100;20;1;I have interacted with chatbots on different websites that have 'Help' sections. ;2;;3;;27;3;;157;ai;another person
158;157;157;2023-04-05 18:23:40;2023-04-05 18:44:31;0;100;1251;1;2023-04-05 18:44:32;R_2f3bq6ZSnpf0CUk;anonymous;EN;1;1;2;2;;;;;;;;95;12;81;88;90;79;93;5;2;0;8;158;7111-6291-4215-5555;;;;;;;;;;;;;;;;;;;;87;28;37;100;97;40;100;0;0;0;0;2;1;;;1;They asked questions that were pretty specific. ;78;72;100;85;65;30;50;81;71;58;84;13;69;96;29;73;1;I have used chatgpt for school;2;;4;;33;4;;158;ai;another person
159;158;158;2023-04-05 18:24:38;2023-04-05 18:49:19;0;100;1481;1;2023-04-05 18:49:20;R_SObaw3tDovt0MKJ;anonymous;EN;1;1;2;2;;;;;;;;81;18;71;81;67;81;65;10;20;33;19;159;8983-5370-8644-5555;;;;;;;;;;;;;;;;;;;;92;3;81;90;94;93;88;10;13;18;7;3;1;;;2;Some of the wording wasn't natural. They repeated the same question a few times. ;82;81;71;70;92;50;60;92;60;49;62;58;72;71;41;62;2;;2;;3;;35;3;;159;ai;another person
160;159;159;2023-04-05 18:29:49;2023-04-05 18:50:32;0;100;1243;1;2023-04-05 18:50:33;R_uwxlMLuWjD8KnWF;anonymous;EN;1;1;2;2;;;;;;;;68;53;62;54;46;65;57;29;18;19;19;160;0495-1678-9650-5555;;;;;;;;;;;;;;;;;;;;3;61;4;23;0;3;6;56;20;46;35;2;1;;;2;The responses were so quick and it felt like an interrogation. There also did not appear to be any typos or mistakes.;58;54;69;94;63;79;33;96;52;43;14;28;95;22;22;62;1;I've used the chatbot help systems on company websites (i.e. Amazon);1;;3;;35;6;;160;ai;another person
161;160;160;2023-04-05 18:19:16;2023-04-05 18:54:03;0;100;2086;1;2023-04-05 18:54:03;R_1F8uOppH9WiEl0E;anonymous;EN;1;1;2;2;;;;;;;;45;10;50;100;40;55;75;5;1;5;3;161;7190-3872-0148-5555;;;;;;;;;;;;;;;;;;;;75;0;50;100;100;55;100;0;0;0;0;3;1;;;2;At times I thought it was a chatbot because it kept agreeing with all the things that I liked, it seemed to like all the things that I liked.;100;100;66;100;9;100;20;100;25;0;0;0;100;0;5;70;1;When I had issues with different company services, I usually chat with bots first.;2;;1;;37;4;;161;ai;another person
162;161;161;2023-04-05 18:54:42;2023-04-05 18:58:58;0;100;256;1;2023-04-05 18:58:59;R_3PEJa6rT2CXwIne;anonymous;EN;1;1;2;2;;;;;;;;62;60;61;61;62;61;61;60;62;61;61;162;7911-8656-5713-1188;;;;;;;;;;;;;;;;;;;;61;60;61;60;60;61;61;58;59;61;60;3;1;;;1;They seemed genuine;60;60;61;60;60;60;60;61;60;60;61;60;61;60;61;62;2;;1;;3;;42;4;;162;ai;another person
163;162;162;2023-04-05 18:59:47;2023-04-05 19:04:08;0;100;260;1;2023-04-05 19:04:09;R_1IT195PJHMFpX1u;anonymous;EN;1;1;2;2;;;;;;;;78;11;93;78;82;79;84;64;59;40;32;163;7541-8658-5335-1503;;;;;;;;;;;;;;;;;;;;0;21;11;0;13;1;13;34;18;15;10;2;1;;;1;I just has a sense that it was a person.;58;69;56;68;56;40;77;59;67;77;82;87;36;95;88;2;2;;2;;3;;50;4;;163;ai;another person
164;163;163;2023-04-05 19:03:30;2023-04-05 19:04:46;0;100;75;1;2023-04-05 19:04:46;R_OfHJ23ivbtCslt7;anonymous;EN;1;1;2;1;;;;;;;;;;;;;;;;;;;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164;ai;another person
165;164;164;2023-04-05 18:49:04;2023-04-05 19:10:27;0;100;1283;1;2023-04-05 19:10:28;R_24JlDRqHSndaTIZ;anonymous;EN;1;1;2;2;;;;;;;;31;45;54;29;13;27;45;16;13;24;10;165;4378-2624-1756-5466;;;;;;;;;;;;;;;;;;;;64;51;40;62;45;64;54;9;10;7;8;2;1;;;2;the speed at which they typed, and i mentioned doing surveys, which they had lots of questions about and obviously raised a red flag to them not being a fellow participant. they also didn't want to answer questions, avoiding when i asked if human, and really drove home just asking about me ;84;76;88;93;56;84;67;83;56;35;42;29;73;30;32;59;1;use GPT-3 chatbot;2;;3;;22;4;;165;ai;another person
166;165;165;2023-04-05 18:49:26;2023-04-05 19:12:33;0;100;1387;1;2023-04-05 19:12:33;R_3luCiWhXRkbRF1T;anonymous;EN;1;1;2;2;;;;;;;;80;22;73;95;61;83;76;88;83;76;100;166;3483-9492-6004-3329;;;;;;;;;;;;;;;;;;;;71;62;73;70;58;75;38;71;82;73;88;2;1;;;2;the other person was answering to fast and giving way too accurate answers. ;34;42;10;14;100;0;71;22;36;65;56;11;7;82;54;28;2;;1;;4;;30;2;;166;ai;another person
167;166;166;2023-04-05 18:51:56;2023-04-05 19:13:01;0;100;1265;1;2023-04-05 19:13:01;R_2a9R2lUq6wNaAJu;anonymous;EN;1;1;2;2;;;;;;;;56;65;63;73;34;64;71;65;66;61;62;167;4275-5040-8026-9477;;;;;;;;;;;;;;;;;;;;45;70;37;67;50;68;62;36;41;43;44;3;1;;;2;It typed very fast, precise, and without mistakes. ;73;67;71;87;66;57;37;100;57;42;63;62;42;58;56;64;1;Online questions during websites to get to the right field or person ;2;;3;;28;4;;167;ai;another person
168;167;167;2023-04-05 18:53:41;2023-04-05 19:15:09;0;100;1288;1;2023-04-05 19:15:10;R_3Ofaibbrm3F8jjM;anonymous;EN;1;1;2;2;;;;;;;;39;35;35;64;35;34;35;0;0;0;0;168;6936-9108-5102-5737;;;;;;;;;;;;;;;;;;;;50;50;60;60;61;60;60;0;0;0;0;2;1;;;2;The conversation did not seem exactly real, the language used was not the way a person would likely talk.;50;50;50;50;61;39;50;63;60;61;13;50;50;62;58;64;2;;2;;3;;49;3;;168;ai;another person
169;168;168;2023-04-05 18:49:52;2023-04-05 19:15:31;0;100;1538;1;2023-04-05 19:15:31;R_1M0uJBqiTPnU9BC;anonymous;EN;1;1;2;2;;;;;;;;81;0;80;83;50;88;19;14;77;57;19;169;0219-9727-7540-8223;;;;;;;;;;;;;;;;;;;;82;77;81;70;75;81;62;14;32;34;0;3;1;;;2;It seemed to me that I was interacting with a chat bot because of the responses I received.  Like I told them I had a son and it then asked if I had children.  ;85;78;74;75;50;71;62;73;73;40;50;60;50;60;50;62;1;The kind of chatbots that stores have online like Walmart, etc.;2;;3;;55;3;;169;ai;another person
170;169;169;2023-04-05 18:51:34;2023-04-05 19:16:46;0;100;1511;1;2023-04-05 19:16:47;R_1Kej4iRVZUxwX7s;anonymous;EN;1;1;2;2;;;;;;;;73;16;74;78;74;73;78;29;27;23;22;170;0488-0909-5344-9423;;;;;;;;;;;;;;;;;;;;96;15;81;100;95;81;96;7;1;3;3;3;1;;;2;the english is too proper, and it's just asking the same question over and over again.;27;29;31;29;66;72;67;19;83;72;71;68;70;70;74;33;1;chatbots are annoying. you can't get the  answer you want. ;1;;2;;35;4;;170;ai;another person
